,Rank,Player Name,Round
0,1,Connor McDavid,1
1,2,Leon Draisaitl,1
2,3,Nathan MacKinnon,1
3,4,Artemi Panarin,1
4,5,Auston Matthews,1
5,6,Patrick Kane,1
6,7,Andrei Vasilevskiy,1
7,8,Mika Zibanejad,1
8,9,Sidney Crosby,1
9,10,Alex Ovechkin,1
10,11,Brad Marchand,1
11,12,Jack Eichel,1
12,13,Mitch Marner,1
13,14,Steven Stamkos,1
14,15,Connor Hellebuyck,1
15,16,John Carlson,1
16,17,Jake Guentzel,1
17,18,John Tavares,1
18,19,Jonathan Huberdeau,2
19,20,Sebastian Aho,2
20,21,Andrei Svechnikov,2
21,22,J.T. Miller,2
22,23,Brayden Point,2
23,24,Frederik Andersen,2
24,25,Aleksander Barkov,2
25,26,Igor Shesterkin,2
26,27,Kyle Connor,2
27,28,Ryan O'Reilly,2
28,29,Elias Pettersson,2
29,30,Sean Couturier,2
30,31,Roman Josi,2
31,32,Evgeni Malkin,2
32,33,Blake Wheeler,2
33,34,Matthew Tkachuk,2
34,35,Mark Stone,2
35,36,Max Pacioretty,2
36,37,Johnny Gaudreau,3
37,38,Teuvo Teravainen,3
38,39,Claude Giroux,3
39,40,Taylor Hall,3
40,41,Anze Kopitar,3
41,42,Dougie Hamilton,3
42,43,Patrice Bergeron,3
43,44,Elias Lindholm,3
44,45,Anton Khudobin,3
45,46,Patrik Laine,3
46,47,Dylan Larkin,3
47,48,Mikko Rantanen,3
48,49,Victor Hedman,3
49,50,Brent Burns,3
50,51,Travis Konecny,3
51,52,Jordan Binnington,3
52,53,Mark Scheifele,3
53,54,Gabriel Landeskog,3
54,55,Kevin Fiala,4
55,56,Nikolaj Ehlers,4
56,57,Morgan Rielly,4
57,58,Sean Monahan,4
58,59,Cale Makar,4
59,60,Brady Tkachuk,4
60,61,Sergei Bobrovsky,4
61,62,Carey Price,4
62,63,David Pastrnak,4
63,64,Ryan Nugent-Hopkins,4
64,65,Tomas Tatar,4
65,66,Robin Lehner,4
66,67,Mike Hoffman,4
67,68,Shea Theodore,4
68,69,John Gibson,4
69,70,Darcy Kuemper,4
70,71,Jacob Markstrom,4
71,72,Mathew Barzal,4
72,73,Kris Letang,5
73,74,Brock Nelson,5
74,75,Torey Krug,5
75,76,Quinn Hughes,5
76,77,Evander Kane,5
77,78,Timo Meier,5
78,79,Brayden Schenn,5
79,80,Oliver Bjorkstrand,5
80,81,Bo Horvat,5
81,82,Jakub Voracek,5
82,83,Brendan Gallagher,5
83,84,Mikko Koskinen,5
84,85,William Nylander,5
85,86,Alexis Lafreniere,5
86,87,Rasmus Dahlin,5
87,88,Tyson Barrie,5
88,89,Anthony DeAngelo,5
89,90,Sam Reinhart,5
90,91,Miro Heiskanen,6
91,92,Alex DeBrincat,6
92,93,Phillip Danault,6
93,94,Alex Pietrangelo,6
94,95,Jonathan Marchessault,6
95,96,William Karlsson,6
96,97,Bryan Rust,6
97,98,Aaron Ekblad,6
98,99,Erik Karlsson,6
99,100,Pierre-Luc Dubois,6
100,101,Nicklas Backstrom,6
101,102,Kirill Kaprizov,6
102,103,Clayton Keller,6
103,104,Tuukka Rask,6
104,105,Ryan Pulock,6
105,106,Evgeny Kuznetsov,6
106,107,Tristan Jarry,6
107,108,Tomas Hertl,6
108,109,Philipp Grubauer,7
109,110,Reilly Smith,7
110,111,Jakub Vrana,7
111,112,Nikita Gusev,7
112,113,Zach Werenski,7
113,114,Linus Ullmark,7
114,115,Darnell Nurse,7
115,116,Tom Wilson,7
116,117,Brock Boeser,7
117,118,Mikhail Sergachev,7
118,119,Ilya Samsonov,7
119,120,Mark Giordano,7
120,121,David Perron,7
121,122,Ryan Johansen,7
122,123,Jamie Benn,7
123,124,Matt Duchene,7
124,125,Filip Forsberg,7
125,126,Cam Talbot,7
126,127,Kasperi Kapanen,8
127,128,Thomas Chabot,8
128,129,Anders Lee,8
129,130,Dominik Kubalik,8
130,131,Anthony Mantha,8
131,132,Carter Hart,8
