Rk,Player,Player ID,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,Jake Allen,allenja01,29,STL,24,21,12,6,3,48,655,607,0.927,2.15,2,4.9,1339,14,0.667,2,81,11.23,0,0,0,0
2,Frederik Andersen,anderfr01,30,TOR,52,52,29,13,7,143,1577,1434,0.909,2.85,3,8.9,3007,27,0.519,8,100,-0.4,0,0,0,0
3,Craig Anderson,andercr01,38,OTT,34,31,11,17,2,100,1018,918,0.902,3.25,0,4.9,1845,14,0.452,7,109,-7.95,0,1,1,0
4,David Ayres,ayresda01,42,CAR,1,0,1,0,0,2,10,8,0.8,4.18,0,-0.1,29,0,,0,,,0,0,0,0
5,Jonathan Bernier,bernijo01,31,DET,46,41,15,22,3,126,1353,1227,0.907,2.95,1,7.2,2566,17,0.415,5,103,-3.66,0,3,3,4
6,Antoine Bibeau,bibeaan01,25,COL,2,1,1,0,0,5,42,37,0.881,3.27,0,0.1,92,0,0,0,,,0,0,0,0
7,Jordan Binnington,binnijo01,26,STL,50,50,30,13,7,126,1430,1304,0.912,2.56,3,8.4,2948,28,0.56,5,97,3.3,0,1,1,4
8,Ben Bishop,bishobe01,33,DAL,44,43,21,16,4,103,1286,1183,0.92,2.5,2,8.7,2474,27,0.628,5,89,13.28,0,2,2,2
9,Mackenzie Blackwood,blackma01,23,NJD,47,43,22,14,8,124,1452,1328,0.915,2.77,3,9,2684,22,0.512,6,94,7.29,0,1,1,0
10,Sergei Bobrovsky,bobrose01,31,FLA,50,48,23,19,6,151,1505,1354,0.9,3.23,1,6.9,2806,20,0.417,10,111,-14.91,0,0,0,0
11,Laurent Brossoit,brossla01,26,WPG,19,15,6,7,1,54,512,458,0.895,3.28,0,2.1,988,7,0.467,1,117,-7.7,0,0,0,0
12,Jack Campbell,campbja01,28,TOT,26,26,11,12,3,73,761,688,0.904,2.8,0,3.8,1567,11,0.423,4,106,-4.19,0,0,0,0
12,Jack Campbell,campbja01,28,LAK,20,20,8,10,2,57,572,515,0.9,2.85,0,2.7,1202,7,0.35,4,110,-5.28,0,0,0,0
12,Jack Campbell,campbja01,28,TOR,6,6,3,2,1,16,189,173,0.915,2.63,0,1.2,365,4,0.667,0,,,0,0,0,0
13,Eric Comrie,comrier01,24,DET,3,2,0,2,0,9,66,57,0.864,4.28,0,0,126,0,0,1,,,0,0,0,0
14,Corey Crawford,crawfco01,35,CHI,40,39,16,20,3,108,1294,1186,0.917,2.77,1,8.3,2340,25,0.641,3,92,9.01,0,0,0,0
15,Oscar Dansk,danskos01,25,VEG,1,1,0,1,0,6,37,31,0.838,6,0,-0.1,60,0,0,1,,,0,0,0,0
16,Aaron Dell,dellaa01,30,SJS,33,30,12,15,3,92,986,894,0.907,3.01,0,5.3,1834,15,0.5,5,103,-2.84,0,0,0,0
17,Thatcher Demko,demkoth01,24,VAN,27,25,13,10,2,78,822,744,0.905,3.06,0,4.2,1529,15,0.6,5,105,-3.67,0,0,0,0
18,Michael Dipietro,dipiemi01,20,VAN,1,0,0,0,0,1,7,6,0.857,7.16,0,0,8,0,,0,,,0,0,0,0
19,Louis Domingue,dominlo01,27,TOT,17,15,3,9,2,51,433,382,0.882,3.81,0,1.2,803,4,0.267,5,130,-11.85,0,0,0,0
19,Louis Domingue,dominlo01,27,NJD,16,14,3,8,2,47,399,352,0.882,3.79,0,1.1,744,4,0.286,5,130,-10.92,0,0,0,0
19,Louis Domingue,dominlo01,27,VAN,1,1,0,1,0,4,34,30,0.882,4.08,0,0.1,59,0,0,0,,,0,0,0,0
20,Chris Driedger,driedch01,25,FLA,12,11,7,2,1,22,354,332,0.938,2.05,1,3.1,643,8,0.727,0,69,10.01,0,0,0,0
21,Devan Dubnyk,dubnyde01,33,MIN,30,28,12,15,2,93,849,756,0.89,3.35,1,3.1,1665,9,0.321,5,121,-16.23,0,0,0,2
22,Brian Elliott,elliobr01,34,PHI,31,27,16,7,4,80,796,716,0.899,2.87,2,3.6,1674,14,0.519,8,111,-8.02,0,1,1,2
23,Marc-Andre Fleury,fleurma01,35,VEG,49,48,27,16,5,133,1399,1266,0.905,2.77,5,7.2,2880,24,0.5,9,105,-6.5,0,0,0,8
24,Anton Forsberg,forsban01,27,CAR,3,3,1,1,0,8,78,70,0.897,3.35,0,0.3,143,1,0.333,0,,,0,0,0,0
25,Pavel Francouz,francpa01,29,COL,34,30,21,7,4,77,996,919,0.923,2.41,1,7,1914,17,0.567,5,85,13.06,0,0,0,2
